timeIndex,totale
00:00,305
00:30,181
01:00,333
01:30,149
02:00,60
02:30,86
03:00,158
03:30,82
04:00,196
04:30,78
05:00,227
05:30,184
06:00,338
06:30,924
07:00,1587
07:30,1905
08:00,1995
08:30,1819
09:00,663
09:30,1738
10:00,1293
10:30,1273
11:00,2427
11:30,1596
12:00,1108
12:30,1206
13:00,1578
13:30,1211
14:00,2266
14:30,1191
15:00,1147
15:30,1112
16:00,704
16:30,1258
17:00,1230
17:30,1309
18:00,1032
18:30,1276
19:00,1478
19:30,2743
20:00,1223
20:30,693
21:00,950
21:30,812
22:00,736
22:30,1073
23:00,785
23:30,476
