"Temperatura" "Umidita" "Vento"
"1" 15.22 74.93 6.45
"2" 14.91 80.11 5.27
"3" 13.86 76.65 5.38
"4" 14.61 76.31 6.76
"5" 13.78 73.75 5.42
"6" 15 78.83 4.53
"7" 15.09 76.32 5.76
"8" 13.48 72.63 5.97
"9" 14.01 74.53 6.61
"10" 13.53 76.53 5.2
"11" 12.5 78.01 6.31
"12" 13.8 73.78 4.29
"13" 15.19 78.04 4.31
"14" 14.36 74.66 5.42
"15" 14.23 73.56 5.33
"16" 15.03 73.55 6.04
"17" 13.64 78.85 5.65
"18" 14.27 71.04 5.51
"19" 13.24 72.93 7.06
"20" 14.13 72.64 6.13
"21" 13.41 77.28 4.8
"22" 14.29 71.89 5.65
"23" 14.21 76.27 4.5
"24" 15.01 76.43 5.5
"25" 14.17 75.19 5.58
"26" 12.74 76.24 5.88
"27" 15.61 78.77 5.76
"28" 14.1 77.57 6.8
"29" 14.93 73.21 6.99
"30" 13.5 75.71 6.42
"31" 13.79 75.38 6.02
"32" 14.59 73.94 6.11
"33" 14.49 73.08 6.08
"34" 12.7 75.11 6.46
"35" 12.97 76.77 4.79
"36" 14.03 71.93 5.46
"37" 13.06 75.88 5.78
"38" 14.03 74.71 5.23
"39" 15.89 75.83 6.44
"40" 14.62 69.48 5.36
"41" 12.94 73.05 6.29
"42" 14.94 77.25 7.26
"43" 13.83 75.49 6.93
"44" 13.75 73.4 6.34
"45" 14.1 73.94 5.81
"46" 13.82 78.59 6.35
"47" 14.36 75.23 5.15
"48" 15.03 76.92 6.11
"49" 12.91 77.98 6.51
"50" 13.88 69.78 6.6
