"Temperatura" "Umidita" "Vento"
"1" 12.79 78.06 4.25
"2" 14.01 77.68 2.88
"3" 13.91 76.94 1.43
"4" 14.21 73.7 2.42
"5" 12.55 74.03 2.92
"6" 10.38 72.31 6.17
"7" 13.19 75.48 2.48
"8" 13.3 72.73 2.23
"9" 12.88 71.4 4.67
"10" 12.18 78.49 3.53
"11" 13.71 77.43 2
"12" 11.76 74.13 2.88
"13" 15.21 73.13 1.44
"14" 13.23 76.31 2.46
"15" 13.69 74.18 2.97
"16" 13.23 72.45 3.53
"17" 13.67 75.19 2.56
"18" 12.17 73.89 2.31
"19" 14.48 78.25 2.27
"20" 11.77 75.55 2.93
"21" 12.1 72.79 4.74
"22" 13.23 75.57 3.06
"23" 12.76 75.95 2.76
"24" 13.24 75.04 3.25
"25" 13.46 72.38 2.89
"26" 13.78 77.93 1.99
"27" 13.8 75.62 1.9
"28" 14.12 74.78 2.68
"29" 12.45 73.71 2.94
"30" 11.28 74.85 4.56
"31" 13.69 71.51 2.77
"32" 11.89 73.22 2.56
"33" 14.41 78.55 1.15
"34" 12.6 77.59 2.2
"35" 12.2 77.61 3.68
"36" 13.66 75.12 1.69
"37" 14 71.21 2.38
"38" 11.67 77.03 2.85
"39" 11.96 75.05 3.56
"40" 12.66 77.93 3.91
"41" 12.35 75.49 3.31
"42" 10.55 73.53 4.29
"43" 13.08 75 3.97
"44" 13.25 78.43 3.07
"45" 14.02 76.5 2.34
"46" 12.98 75.41 3.04
"47" 11.9 72.36 3.87
"48" 12.6 71.1 4.07
"49" 12.85 77.42 2.38
"50" 12.94 75.77 4.04
